tag,2020-01-21,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08
adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0
asotin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0
benton,,,,,,,,,,,,,,,,,,1,,,1,0,1,0,0,0,0,1,0,1,,,,1,1,2,4,,,4,2,1
chelan,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,0,0
clallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
clark,,,,,,,,,0,,,,,,,0,,,2,1,,1,0,0,,0,0,0,1,1,,,,,,2,,,,,5,0
columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
cowlitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ferry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,1,0
garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
grant,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
graysharbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
island,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,1,1
jefferson,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,0,
king,,,1,1,3,3,2,1,1,2,2,3,2,4,1,5,3,2,6,3,10,4,7,8,1,12,7,6,9,16,11,5,6,9,14,9,8,13,8,14,8,14
kitsap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
kittitas,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,
klickitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0,
lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,
lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
okanogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
pendoreille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
pierce,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,1,1,,,1,,1,,2,2,2,2
sanjuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
skagit,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,1,,,,,0,1,
skamania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
snohomish,0,0,,0,1,0,0,0,,0,0,1,1,1,0,0,0,,2,0,1,2,3,3,2,2,2,1,2,,2,4,3,,7,1,5,2,,10,3,2
spokane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,1,2,2,1,1,1,,0
stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
thurston,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,0
wahkiakum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
wallawalla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
whatcom,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,3,,,1,1,3,1,,6,0,1
whitman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
yakima,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,3,,3,3,,,5,1
